t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
2014,IV Extreme,213625,39806815.89454138,0.3091,0.0779,13356,3252820.1190596493,0.0193,0.0064
2015,I Moderate,36960999,23088189649.423862,53.4775,45.164,176711,96882413.01750807,0.2557,0.1895
2015,II Strong,6720611,4137873465.241451,9.7238,8.0943,287564,174303603.12958497,0.4161,0.341
2015,III Severe,553978,280902213.53420085,0.8015,0.5495,66645,37932530.26407467,0.0964,0.0742
2015,IV Extreme,149574,36583133.487994954,0.2164,0.0716,15069,5809851.458203575,0.0218,0.0114
2016,I Moderate,43557513,26021379057.043873,63.0218,50.9017,159039,88481800.9905491,0.2301,0.1731
2016,II Strong,8913424,4307685246.7417345,12.8965,8.4265,315540,194721428.84812373,0.4565,0.3809
2016,III Severe,1593702,371292031.43511593,2.3059,0.7263,77605,38159937.698728725,0.1123,0.0746
2016,IV Extreme,2833967,524775633.418948,4.1004,1.0265,50759,10755780.113206144,0.0734,0.021
2017,I Moderate,37248267,21201431763.878536,53.8932,41.4732,219591,126501989.75809631,0.3177,0.2475
2017,II Strong,5702258,2480677644.9096446,8.2504,4.8526,294030,172384273.22974446,0.4254,0.3372
2017,III Severe,1238356,287446712.7318529,1.7917,0.5623,49179,21685139.451034553,0.0712,0.0424
2017,IV Extreme,2082584,399086478.258901,3.0132,0.7807,43637,9426842.415398004,0.0631,0.0184
2018,I Moderate,32590055,18268015804.37488,47.1534,35.735,223469,132857549.28029802,0.3233,0.2599
2018,II Strong,5020486,2213465319.293686,7.264,4.3299,239855,139827989.96496472,0.347,0.2735
2018,III Severe,1080696,240333532.7618239,1.5636,0.4701,45464,21552489.12235376,0.0658,0.0422
2018,IV Extreme,2421672,454371519.28211737,3.5038,0.8888,35699,7479209.704187764,0.0517,0.0146
2019,I Moderate,39808649,23430391036.00063,57.5977,45.8334,204767,117395785.7644004,0.2963,0.2296
2019,II Strong,6935998,3481115274.1915507,10.0354,6.8096,287217,172410430.94122773,0.4156,0.3373
2019,III Severe,1239609,323596766.27424693,1.7935,0.633,54741,28317190.82864668,0.0792,0.0554
2019,IV Extreme,2400293,458949347.4535688,3.4729,0.8978,35818,8457875.650914665,0.0518,0.0165
2020,I Moderate,43095271,25633135953.38213,62.353,50.1423,192391,107332372.36862576,0.2784,0.21
2020,II Strong,6540269,3145391139.367306,9.4629,6.1529,306213,185143686.4602888,0.443,0.3622
2020,III Severe,1314387,279157327.8719349,1.9017,0.5461,46026,22917334.14023174,0.0666,0.0448
2020,IV Extreme,2654598,492430504.79448956,3.8408,0.9633,34691,6985348.927841756,0.0502,0.0137
2021,I Moderate,36862277,21679560399.121376,53.3347,42.4085,211515,120333344.69065468,0.306,0.2354
2021,II Strong,5058329,2449604309.4210844,7.3187,4.7918,240932,143646036.01778218,0.3486,0.281
2021,III Severe,1070588,246354370.0251532,1.549,0.4819,40832,20503183.197271064,0.0591,0.0401
2021,IV Extreme,2321422,437201858.87562305,3.3588,0.8552,33248,7007386.879376067,0.0481,0.0137
2022,I Moderate,43494684,25047199089.13797,62.9309,48.9961,224050,131570810.68140236,0.3242,0.2574
2022,II Strong,6977765,3430132613.711673,10.0959,6.7099,233465,134289769.88808146,0.3378,0.2627
2022,III Severe,1247389,319833463.73834014,1.8048,0.6256,45207,21383839.764638465,0.0654,0.0418
2022,IV Extreme,2396401,457428148.61368906,3.4673,0.8948,37264,8282817.164669257,0.053900000000000003,0.0162
