t,category,cat_n_cum,cat_area_cum,cat_n_cum_prop,cat_area_cum_prop,first_n_cum,first_area_cum,first_n_cum_prop,first_area_cum_prop
2015,IV Extreme,123387,38380822.37677255,0.1785,0.1051,14999,5198909.194834637,0.0217,0.0142
2015,V Ice,526447,121690682.25821893,0.7617,0.3333,46487,11177452.248483026,0.0673,0.0306
2016,I Moderate,7261667,3804171962.945907,10.5066,10.4207,147662,87546623.84951143,0.2136,0.2398
2016,II Strong,1327692,526448494.1699121,1.921,1.4421,75007,39140868.26656212,0.1085,0.1072
2016,III Severe,524669,183907964.16279733,0.7591,0.5038,24884,10246628.812332226,0.036,0.0281
2016,IV Extreme,233808,77253549.95713715,0.3383,0.2116,18011,6466488.575929583,0.0261,0.0177
2016,V Ice,1469418,286274403.90624565,2.126,0.7842,65429,13119650.047054844,0.0947,0.0359
2017,I Moderate,4817791,2622594925.444722,6.9707,7.184,156622,92730645.01340523,0.2266,0.254
2017,II Strong,803087,266592472.42215967,1.162,0.7303,59290,30843514.533943433,0.0858,0.0845
2017,III Severe,309233,81319133.17977567,0.4474,0.2228,15783,6356413.96611243,0.0228,0.0174
2017,IV Extreme,119226,29154041.952895388,0.1725,0.0799,9792,3306081.7094973032,0.0142,0.0091
2017,V Ice,975788,151897055.4852184,1.4118,0.4161,52284,9542979.493372383,0.0756,0.0261
2018,I Moderate,6463845,3213454574.326527,9.3523,8.8025,179088,107990078.42051092,0.2591,0.2958
2018,II Strong,1566371,398958211.36061144,2.2663,1.0929,67369,33133811.725839984,0.0975,0.0908
2018,III Severe,623142,155316707.17457554,0.9016,0.4255,20201,7832579.357306485,0.0292,0.0215
2018,IV Extreme,272473,77925280.36448503,0.3942,0.2135,12948,4484156.725030207,0.0187,0.0123
2018,V Ice,2900730,605632040.6869706,4.197,1.659,81448,17708665.432292387,0.1178,0.0485
2019,I Moderate,5678115,2726342238.371208,8.2155,7.4682,148713,87984905.37746872,0.2152,0.241
2019,II Strong,1537618,433388879.4688162,2.2247,1.1872,58453,29597613.369335677,0.0846,0.0811
2019,III Severe,861937,230604682.1184143,1.2471,0.6317,18291,7952626.975952721,0.0265,0.0218
2019,IV Extreme,689576,173419946.55115953,0.9977,0.475,18428,7142597.580801936,0.0267,0.0196
